company_name,company_website,old_icebreaker,new_icebreaker,icp,pain,service,secondary_services,business_model,industry,secondary_industries,sub_industry,specificity,company_type,company_stage,geography,confidence,reasoning,extraction_json,t_extract_s,t_icebr_s
IveSearch,http://www.ivesearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders across industries and they keep saying they can’t get top senior leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of mid-size companies,struggle to find the right executive talent,executive_search,staffing,not_specified,multi_industry,,,medium,mixed,not_applicable,unknown,7,"Next One Staffing primarily focuses on executive search, with staffing as a secondary service. They serve a diverse range of industries without specifying particular sectors, indicating a multi-industry approach. The lack of clear client type and geographic focus contributes to a medium specificity rating.","{""primary_service"": ""executive_search"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 7, ""reasoning"": ""Next One Staffing primarily focuses on executive search, with staffing as a secondary service. They serve a diverse range of industries without specifying particular sectors, indicating a multi-industry approach. The lack of clear client type and geographic focus contributes to a medium specificity rating.""}",10.3,19.41
NextOne,http://www.nextonestaffing.com,"Figured I’d reach out — I talk to a lot of CEOs and founders and they keep saying they can't attract top‑tier execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size companies and they keep saying they board keeps rejecting candidates three months in. Thought you two should connect.,CEOs and founders at mid-size companies,board keeps rejecting candidates three months in,executive_search,,contingency,multi_industry,,,medium,mixed,not_applicable,national,8,"The firm explicitly offers executive search (both retained and contingency) for multiple sectors (CPG, retail, finance, pharma), indicating a broad, multi‑industry focus. No clear client size or VC‑backed focus is stated, and they operate across the US, leading to a mixed client type and national geography.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""contingency"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""The firm explicitly offers executive search (both retained and contingency) for multiple sectors (CPG, retail, finance, pharma), indicating a broad, multi‑industry focus. No clear client size or VC‑backed focus is stated, and they operate across the US, leading to a mixed client type and national geography.""}",11.06,19.47
Excel Talent,http://www.exceltalentsolutions.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at big companies and they keep saying they can’t lock down top exec talent.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they struggle to find the right leadership talent. Thought you two should connect.,CEOs and founders of mid-size companies,struggle to find the right leadership talent,executive_search,"permanent_recruiting, staffing",retained,unknown,,,medium,unknown,not_applicable,national,8,"ETS primarily offers executive search services, with additional mentions of permanent recruiting and staffing. While they serve clients nationwide, the lack of specific industry focus or client type details leads to a medium specificity classification.","{""primary_service"": ""executive_search"", ""secondary_services"": [""permanent_recruiting"", ""staffing""], ""business_model"": ""retained"", ""primary_industry"": ""unknown"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""ETS primarily offers executive search services, with additional mentions of permanent recruiting and staffing. While they serve clients nationwide, the lack of specific industry focus or client type details leads to a medium specificity classification.""}",11.5,19.31
Gerard Daniels,http://www.gerard-daniels.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at multinational companies and they keep saying they can’t secure top senior execs globally.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying their board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates 3 months in,executive_search,unknown,not_specified,unknown,,,low,unknown,not_applicable,unknown,5,"Perform Search is primarily focused on executive search but lacks clear details on industry, client type, or geographic scope. The absence of explicit signals regarding their ideal customer profile and specialization leads to a low specificity classification.","{""primary_service"": ""executive_search"", ""secondary_services"": [""unknown""], ""business_model"": ""not_specified"", ""primary_industry"": ""unknown"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 5, ""reasoning"": ""Perform Search is primarily focused on executive search but lacks clear details on industry, client type, or geographic scope. The absence of explicit signals regarding their ideal customer profile and specialization leads to a low specificity classification.""}",12.58,18.95
CareerList,http://www.performsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders hiring execs and they keep saying they can't find qualified senior execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't get a VP in under 90 days. Thought you two should connect.,CEOs and founders of mid-size companies,can't get a VP in under 90 days,executive_search,,not_specified,multi_industry,,,low,unknown,not_applicable,unknown,8,"The firm explicitly markets executive search and advisory services, with no mention of other recruiting models. No industry focus, client size, or geographic scope is provided, leading to a generic classification.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm explicitly markets executive search and advisory services, with no mention of other recruiting models. No industry focus, client size, or geographic scope is provided, leading to a generic classification.""}",12.44,20.19
InPeak Demand,http://www.inpeakdemand.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in all sorts of companies and they keep saying they can’t get top execs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of banks and private equity firms and they keep saying they’re struggling to find the right executive talent. Thought you two should connect.,CEOs and founders of banks and private equity firms,struggling to find the right executive talent,executive_search,"unknown, unknown",retained,finance,"unknown, unknown",banking,high,mixed,not_applicable,national,9,"SLATE clearly positions itself as a retained executive search firm focusing on financial services, specifically targeting banks and private equity firms. The emphasis on smaller market cities indicates a specific niche within the finance industry, and the retained business model is explicitly stated.","{""primary_service"": ""executive_search"", ""secondary_services"": [""unknown"", ""unknown""], ""business_model"": ""retained"", ""primary_industry"": ""finance"", ""secondary_industries"": [""unknown"", ""unknown""], ""sub_industry"": ""banking"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 9, ""reasoning"": ""SLATE clearly positions itself as a retained executive search firm focusing on financial services, specifically targeting banks and private equity firms. The emphasis on smaller market cities indicates a specific niche within the finance industry, and the retained business model is explicitly stated.""}",14.88,18.45
Slate,http://www.joinslate.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in finance and they keep saying they can’t snag senior finance leaders with niche chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at growing cannabis companies and they keep saying they pipeline's always dry when they need a C-suite. Thought you two should connect.,CEOs and founders at growing cannabis companies,pipeline's always dry when they need a C-suite,executive_search,staffing,not_specified,other,,,high,mixed,not_applicable,unknown,8,"The firm explicitly markets executive search and staffing for the cannabis sector, a clearly defined niche, indicating high specificity. No size, funding, or geographic details are provided, so client type is mixed and business model remains unspecified.","{""primary_service"": ""executive_search"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm explicitly markets executive search and staffing for the cannabis sector, a clearly defined niche, indicating high specificity. No size, funding, or geographic details are provided, so client type is mixed and business model remains unspecified.""}",15.38,18.09
Catholic,http://www.catholicrecruiter.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in firms hunting senior leaders and they keep saying they can’t lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at renewable energy firms and they keep saying they can't land a seasoned VP fast enough. Thought you two should connect.,CEOs and founders at renewable energy firms,can't land a seasoned VP fast enough,executive_search,permanent_recruiting,not_specified,other,,renewables,high,mixed,not_applicable,unknown,8,"The firm explicitly focuses on recruiting leaders for renewable energy, indicating an executive search focus. It mentions no pricing or engagement model, so business model is unclear. Industry is renewable energy, mapped to the 'renewables' sub‑industry under the 'other' category, and the lack of client size details suggests a mixed client base.","{""primary_service"": ""executive_search"", ""secondary_services"": [""permanent_recruiting""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": ""renewables"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm explicitly focuses on recruiting leaders for renewable energy, indicating an executive search focus. It mentions no pricing or engagement model, so business model is unclear. Industry is renewable energy, mapped to the 'renewables' sub‑industry under the 'other' category, and the lack of client size details suggests a mixed client base.""}",13.52,20.2
Flatiron Search,http://www.flatironsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in growing retail brands and they keep saying they can’t lock down senior retail leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of high-growth consumer brands and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of high-growth consumer brands,struggle to find the right executive talent,executive_search,"sourcing, unknown",retained,multi_industry,,,medium,mixed,not_applicable,national,8,"Flatiron Search Partners specializes in executive search for high-growth consumer brands across various sectors, indicating a mixed client type. The focus on multiple industries and roles suggests a medium specificity, while the lack of explicit geographic limitations points to a national scope.","{""primary_service"": ""executive_search"", ""secondary_services"": [""sourcing"", ""unknown""], ""business_model"": ""retained"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""Flatiron Search Partners specializes in executive search for high-growth consumer brands across various sectors, indicating a mixed client type. The focus on multiple industries and roles suggests a medium specificity, while the lack of explicit geographic limitations points to a national scope.""}",15.8,18.97
Flower Hire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing pharma companies and they keep saying they contract pipeline drags like molasses when they need talent. Thought you two should connect.,ops managers at growing pharma companies,contract pipeline drags like molasses when they need talent,staffing,"permanent_recruiting, executive_search",not_specified,healthcare,,pharma,high,mixed,not_applicable,global,8,"The firm explicitly focuses on pharmaceuticals, biotechnology, and medical devices, indicating a clear healthcare niche. It offers staffing (interim/contract), contingency (permanent) and executive search services, serving companies of all sizes across multiple countries, which points to a mixed client base and global reach.","{""primary_service"": ""staffing"", ""secondary_services"": [""permanent_recruiting"", ""executive_search""], ""business_model"": ""not_specified"", ""primary_industry"": ""healthcare"", ""secondary_industries"": [], ""sub_industry"": ""pharma"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""global"", ""confidence"": 8, ""reasoning"": ""The firm explicitly focuses on pharmaceuticals, biotechnology, and medical devices, indicating a clear healthcare niche. It offers staffing (interim/contract), contingency (permanent) and executive search services, serving companies of all sizes across multiple countries, which points to a mixed client base and global reach.""}",17.44,17.59
Prestige,http://www.prestigescientific.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size cannabis companies and they keep saying their pipeline's always dry when they need a VP. Thought you two should connect.,CEOs and founders of mid-size cannabis companies,pipeline's always dry when they need a VP,executive_search,staffing,not_specified,other,,,high,unknown,not_applicable,unknown,8,"The description highlights executive search and staffing exclusively for the cannabis sector, giving a clear niche (high specificity). No details on pricing model, client size, or geographic reach are provided, so business model, client type, and geography remain unspecified.","{""primary_service"": ""executive_search"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The description highlights executive search and staffing exclusively for the cannabis sector, giving a clear niche (high specificity). No details on pricing model, client size, or geographic reach are provided, so business model, client type, and geography remain unspecified.""}",17.94,17.55
GX People,http://www.gxpeople.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of biotech firms and they keep saying they can't find a qualified VP of R&D fast enough. Thought you two should connect.,CEOs and founders of biotech firms,can't find a qualified VP of R&D fast enough,executive_search,sourcing,not_specified,healthcare,,biotech,high,mixed,not_applicable,global,9,"The firm explicitly markets executive search for life sciences, a clear niche within healthcare (biotech). No size or pricing model is given, indicating a mixed client base, and they mention a global leadership network, implying worldwide scope.","{""primary_service"": ""executive_search"", ""secondary_services"": [""sourcing""], ""business_model"": ""not_specified"", ""primary_industry"": ""healthcare"", ""secondary_industries"": [], ""sub_industry"": ""biotech"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""global"", ""confidence"": 9, ""reasoning"": ""The firm explicitly markets executive search for life sciences, a clear niche within healthcare (biotech). No size or pricing model is given, indicating a mixed client base, and they mention a global leadership network, implying worldwide scope.""}",16.78,19.08
FlowerHire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of cannabis companies and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of cannabis companies,struggle to find the right executive talent,executive_search,staffing,not_specified,other,,,high,unknown,not_applicable,unknown,7,"FlowerHire clearly specializes in executive search and staffing within the cannabis industry, indicating a strong niche focus. However, there are no explicit details regarding the client company type or geographic scope, leading to some uncertainty.","{""primary_service"": ""executive_search"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 7, ""reasoning"": ""FlowerHire clearly specializes in executive search and staffing within the cannabis industry, indicating a strong niche focus. However, there are no explicit details regarding the client company type or geographic scope, leading to some uncertainty.""}",18.31,18.23
SRI Talent,http://www.sritalent.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders with the right health know-how.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at VC‑backed biotech companies and they keep saying they can't find a CMO who gets our science. Thought you two should connect.,CEOs and founders at VC‑backed biotech companies,can't find a CMO who gets our science,executive_search,,not_specified,healthcare,information_technology,biotech,high,vc_backed,established,unknown,8,"The firm emphasizes a meticulous executive search process for life‑science and tech startups, indicating executive_search as the core service. It serves biotech, pharma, medical devices (healthcare) and IT/SaaS (information technology), with biotech as the most specific sub‑industry mentioned. Target customers are high‑growth, likely VC‑backed startups, but no stage or geographic scope is disclosed.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""healthcare"", ""secondary_industries"": [""information_technology""], ""sub_industry"": ""biotech"", ""specificity"": ""high"", ""company_type"": ""vc_backed"", ""company_stage"": ""established"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm emphasizes a meticulous executive search process for life‑science and tech startups, indicating executive_search as the core service. It serves biotech, pharma, medical devices (healthcare) and IT/SaaS (information technology), with biotech as the most specific sub‑industry mentioned. Target customers are high‑growth, likely VC‑backed startups, but no stage or geographic scope is disclosed.""}",20.75,16.44
