company_name,company_website,old_icebreaker,new_icebreaker,icp,pain,service,secondary_services,business_model,industry,secondary_industries,sub_industry,specificity,company_type,company_stage,geography,confidence,reasoning,extraction_json,t_extract_s,t_icebr_s
IveSearch,http://www.ivesearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders across industries and they keep saying they can’t get top senior leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and executive directors at mid-size nonprofit foundations and they keep saying they board keeps rejecting candidates for years. Thought you two should connect.,CEOs and executive directors at mid-size nonprofit foundations,board keeps rejecting candidates for years,executive_search,,not_specified,other,finance,nonprofit,high,mixed,not_applicable,unknown,8,"The firm explicitly markets executive search and leadership work for foundations, nonprofits and impact‑investing entities, indicating a clear niche. It mentions serving family offices and foundations (finance/other) and lists several nonprofit clients, giving a strong industry signal. No geography or pricing model is disclosed, so those fields remain unknown.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [""finance""], ""sub_industry"": ""nonprofit"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm explicitly markets executive search and leadership work for foundations, nonprofits and impact‑investing entities, indicating a clear niche. It mentions serving family offices and foundations (finance/other) and lists several nonprofit clients, giving a strong industry signal. No geography or pricing model is disclosed, so those fields remain unknown.""}",6.23,23.44
NextOne,http://www.nextonestaffing.com,"Figured I’d reach out — I talk to a lot of CEOs and founders and they keep saying they can't attract top‑tier execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates 3 months in,executive_search,staffing,not_specified,multi_industry,,,low,mixed,not_applicable,unknown,8,"The firm describes itself as an executive search and staffing agency, emphasizing C‑level placements, indicating executive_search as primary service with staffing as secondary. It serves companies of all sizes across various industries, resulting in a multi‑industry focus and mixed client types. No fee model or geographic scope is disclosed.","{""primary_service"": ""executive_search"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm describes itself as an executive search and staffing agency, emphasizing C‑level placements, indicating executive_search as primary service with staffing as secondary. It serves companies of all sizes across various industries, resulting in a multi‑industry focus and mixed client types. No fee model or geographic scope is disclosed.""}",9.48,20.83
Excel Talent,http://www.exceltalentsolutions.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at big companies and they keep saying they can’t lock down top exec talent.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they board keeps rejecting candidates for months. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates for months,executive_search,,not_specified,multi_industry,,,low,mixed,not_applicable,global,8,"The firm explicitly markets executive search and board consulting, with no mention of other recruiting services. It serves a broad range of industries worldwide, indicating a multi‑industry focus and low niche specificity. Client size is not defined, but language about leading and emerging companies suggests a mixed client base.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""global"", ""confidence"": 8, ""reasoning"": ""The firm explicitly markets executive search and board consulting, with no mention of other recruiting services. It serves a broad range of industries worldwide, indicating a multi‑industry focus and low niche specificity. Client size is not defined, but language about leading and emerging companies suggests a mixed client base.""}",11.92,18.75
Gerard Daniels,http://www.gerard-daniels.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at multinational companies and they keep saying they can’t secure top senior execs globally.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't find a VP fast enough. Thought you two should connect.,CEOs and founders of mid-size companies,can't find a VP fast enough,executive_search,permanent_recruiting,retained,multi_industry,,,low,mixed,not_applicable,national,8,"ETS markets executive and professional recruiting with retained, container, and contingency options, indicating an executive search focus. No single industry niche is mentioned, and the firm serves a broad client base nationwide, leading to a mixed company type classification.","{""primary_service"": ""executive_search"", ""secondary_services"": [""permanent_recruiting""], ""business_model"": ""retained"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""ETS markets executive and professional recruiting with retained, container, and contingency options, indicating an executive search focus. No single industry niche is mentioned, and the firm serves a broad client base nationwide, leading to a mixed company type classification.""}",11.42,19.41
CareerList,http://www.performsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders hiring execs and they keep saying they can't find qualified senior execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they struggle to find the right leaders fast. Thought you two should connect.,CEOs and founders of mid-size companies,struggle to find the right leaders fast,executive_search,unknown,retained,multi_industry,,,medium,mixed,not_applicable,global,8,"Gerard Daniels primarily offers executive search services with a retained business model, focusing on leadership placements across multiple industries. The firm serves a diverse range of clients globally, indicating a mixed client company type, but does not specify particular industries or stages.","{""primary_service"": ""executive_search"", ""secondary_services"": [""unknown""], ""business_model"": ""retained"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""global"", ""confidence"": 8, ""reasoning"": ""Gerard Daniels primarily offers executive search services with a retained business model, focusing on leadership placements across multiple industries. The firm serves a diverse range of clients globally, indicating a mixed client company type, but does not specify particular industries or stages.""}",12.52,19.2
InPeak Demand,http://www.inpeakdemand.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in all sorts of companies and they keep saying they can’t get top execs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring managers at mid-size renewable energy companies and they keep saying they struggle to find engineers who stick around. Thought you two should connect.,founders and hiring managers at mid-size renewable energy companies,struggle to find engineers who stick around,permanent_recruiting,unknown,not_specified,other,unknown,renewables,medium,unknown,not_applicable,unknown,7,"Peak Demand specializes in renewable energy recruitment, indicating a focus on the renewables sector. However, there is a lack of specific details regarding their business model, client types, or geographic scope, leading to a medium specificity classification.","{""primary_service"": ""permanent_recruiting"", ""secondary_services"": [""unknown""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [""unknown""], ""sub_industry"": ""renewables"", ""specificity"": ""medium"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 7, ""reasoning"": ""Peak Demand specializes in renewable energy recruitment, indicating a focus on the renewables sector. However, there is a lack of specific details regarding their business model, client types, or geographic scope, leading to a medium specificity classification.""}",13.61,19.3
Slate,http://www.joinslate.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in finance and they keep saying they can’t snag senior finance leaders with niche chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size community banks and they keep saying they board keeps rejecting candidates three months in. Thought you two should connect.,CEOs and founders at mid-size community banks,board keeps rejecting candidates three months in,executive_search,staffing,retained,finance,manufacturing,banking,high,smb,not_applicable,national,8,"The firm explicitly states it is a retained executive search firm for financial services executives, indicating executive_search as the primary service and a retained business model. It focuses on banks, insurance, wealth management and private equity (finance) and also mentions industrial firms (manufacturing), with a clear niche in smaller US market cities, leading to high specificity and a SMB client focus.","{""primary_service"": ""executive_search"", ""secondary_services"": [""staffing""], ""business_model"": ""retained"", ""primary_industry"": ""finance"", ""secondary_industries"": [""manufacturing""], ""sub_industry"": ""banking"", ""specificity"": ""high"", ""company_type"": ""smb"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""The firm explicitly states it is a retained executive search firm for financial services executives, indicating executive_search as the primary service and a retained business model. It focuses on banks, insurance, wealth management and private equity (finance) and also mentions industrial firms (manufacturing), with a clear niche in smaller US market cities, leading to high specificity and a SMB client focus.""}",15.14,18.22
Catholic,http://www.catholicrecruiter.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in firms hunting senior leaders and they keep saying they can’t lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at VC‑backed consumer brands and they keep saying they can't find a CMO who gets our brand vibe. Thought you two should connect.,CEOs and founders at VC‑backed consumer brands,can't find a CMO who gets our brand vibe,executive_search,permanent_recruiting,not_specified,multi_industry,,,medium,vc_backed,established,national,8,"The firm describes itself as a boutique executive search firm focused on high‑growth, well‑funded consumer brands, indicating executive search as the core service and permanent placement as a likely secondary offering. It serves many consumer‑related sectors across the US and Canada, showing a multi‑industry focus without a single niche sub‑industry. The mention of well‑funded brands suggests VC‑backed clients, but no specific stage is given, so the stage is marked as established.","{""primary_service"": ""executive_search"", ""secondary_services"": [""permanent_recruiting""], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""vc_backed"", ""company_stage"": ""established"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""The firm describes itself as a boutique executive search firm focused on high‑growth, well‑funded consumer brands, indicating executive search as the core service and permanent placement as a likely secondary offering. It serves many consumer‑related sectors across the US and Canada, showing a multi‑industry focus without a single niche sub‑industry. The mention of well‑funded brands suggests VC‑backed clients, but no specific stage is given, so the stage is marked as established.""}",14.81,18.81
Flatiron Search,http://www.flatironsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in growing retail brands and they keep saying they can’t lock down senior retail leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of bishops and principals at Catholic schools and they keep saying they can't find priests who can manage budgets. Thought you two should connect.,bishops and principals at Catholic schools,can't find priests who can manage budgets,executive_search,,not_specified,other,,nonprofit,high,mixed,not_applicable,unknown,9,"The firm explicitly offers executive search for Catholic dioceses, schools and religious orders, indicating a clear niche (high specificity). It serves a range of organization sizes (dioceses to small schools), so client type is mixed. No geographic or fee model details are provided.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": ""nonprofit"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 9, ""reasoning"": ""The firm explicitly offers executive search for Catholic dioceses, schools and religious orders, indicating a clear niche (high specificity). It serves a range of organization sizes (dioceses to small schools), so client type is mixed. No geographic or fee model details are provided.""}",15.03,19.28
Flower Hire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of Catholic nonprofits and they keep saying they struggle to find mission-driven leaders. Thought you two should connect.,CEOs and founders of Catholic nonprofits,struggle to find mission-driven leaders,executive_search,"sourcing, unknown",retained,other,unknown,nonprofit,high,mixed,not_applicable,national,9,"The firm specializes in executive search for Catholic organizations, indicating a clear niche in the nonprofit sector. Their focus on mission-driven recruitment and alignment with Catholic values further solidifies their specific positioning. While they serve various types of organizations, the lack of explicit client characteristics suggests a mixed client type.","{""primary_service"": ""executive_search"", ""secondary_services"": [""sourcing"", ""unknown""], ""business_model"": ""retained"", ""primary_industry"": ""other"", ""secondary_industries"": [""unknown""], ""sub_industry"": ""nonprofit"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 9, ""reasoning"": ""The firm specializes in executive search for Catholic organizations, indicating a clear niche in the nonprofit sector. Their focus on mission-driven recruitment and alignment with Catholic values further solidifies their specific positioning. While they serve various types of organizations, the lack of explicit client characteristics suggests a mixed client type.""}",15.61,19.36
Prestige,http://www.prestigescientific.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders in the life sciences sector and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders in the life sciences sector,struggle to find the right executive talent,executive_search,,not_specified,healthcare,,other,high,unknown,not_applicable,national,9,"Prestige Scientific specializes in executive search within the life sciences sector, indicating a clear niche. While the primary industry is healthcare, the specific sub-industry aligns with 'other' due to the broad focus on life sciences without a more precise classification. The lack of explicit client company type or stage suggests uncertainty in those areas.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""healthcare"", ""secondary_industries"": [], ""sub_industry"": ""other"", ""specificity"": ""high"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 9, ""reasoning"": ""Prestige Scientific specializes in executive search within the life sciences sector, indicating a clear niche. While the primary industry is healthcare, the specific sub-industry aligns with 'other' due to the broad focus on life sciences without a more precise classification. The lack of explicit client company type or stage suggests uncertainty in those areas.""}",18.02,17.03
GX People,http://www.gxpeople.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders in the cannabis industry and they keep saying they struggle to find the right leadership talent. Thought you two should connect.,CEOs and founders in the cannabis industry,struggle to find the right leadership talent,executive_search,staffing,not_specified,other,,,high,unknown,not_applicable,unknown,8,"FlowerHire specializes in executive search within the cannabis industry, indicating a clear niche. However, there are no explicit details about the client company types or geographic scope, leading to some uncertainty in those classifications.","{""primary_service"": ""executive_search"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""FlowerHire specializes in executive search within the cannabis industry, indicating a clear niche. However, there are no explicit details about the client company types or geographic scope, leading to some uncertainty in those classifications.""}",16.69,18.95
FlowerHire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of pharma companies and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of pharma companies,struggle to find the right executive talent,executive_search,"contingency, staffing",contingency,healthcare,other,pharma,high,mixed,not_applicable,global,9,"GxPeople Global specializes in executive search and contingency services within the pharmaceuticals and biotechnology sectors, indicating a clear niche. The company operates globally, serving various clients without a specific size focus.","{""primary_service"": ""executive_search"", ""secondary_services"": [""contingency"", ""staffing""], ""business_model"": ""contingency"", ""primary_industry"": ""healthcare"", ""secondary_industries"": [""other""], ""sub_industry"": ""pharma"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""global"", ""confidence"": 9, ""reasoning"": ""GxPeople Global specializes in executive search and contingency services within the pharmaceuticals and biotechnology sectors, indicating a clear niche. The company operates globally, serving various clients without a specific size focus.""}",18.2,17.81
