company_name,company_website,old_icebreaker,gpt4o_mini_icebreaker,gpt4o_mini_icp,gpt4o_mini_pain,gpt4o_mini_service,gpt4o_mini_industry,gpt4o_mini_sub_industry,gpt4o_mini_specificity,gpt4o_mini_company_type,gpt4o_mini_company_stage,gpt4o_mini_geography,gpt4o_mini_confidence,gpt4o_mini_t_total_s,gpt_oss_120b_icebreaker,gpt_oss_120b_icp,gpt_oss_120b_pain,gpt_oss_120b_service,gpt_oss_120b_industry,gpt_oss_120b_sub_industry,gpt_oss_120b_specificity,gpt_oss_120b_company_type,gpt_oss_120b_company_stage,gpt_oss_120b_geography,gpt_oss_120b_confidence,gpt_oss_120b_t_total_s
Catholic,http://www.catholicrecruiter.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in firms hunting senior leaders and they keep saying they can’t lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size banks and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of mid-size banks,struggle to find the right executive talent,executive_search,finance,banking,high,mixed,not_applicable,national,9,34.01,Figured I'd reach out — I talk to a lot of CEOs and founders of Catholic schools and they keep saying they board keeps vetoing our top exec picks. Thought you two should connect.,CEOs and founders of Catholic schools,board keeps vetoing our top exec picks,executive_search,other,education,high,mixed,not_applicable,unknown,9,34.55
Flatiron Search,http://www.flatironsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in growing retail brands and they keep saying they can’t lock down senior retail leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at regional banks and they keep saying they board keeps rejecting candidates after months. Thought you two should connect.,CEOs and founders at regional banks,board keeps rejecting candidates after months,executive_search,finance,banking,high,smb,not_applicable,national,8,34.81,Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size pharma companies and they keep saying they can't find a CMO who actually knows FDA. Thought you two should connect.,CEOs and founders at mid-size pharma companies,can't find a CMO who actually knows FDA,executive_search,healthcare,pharma,high,unknown,not_applicable,global,8,34.96
Flower Hire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of high-growth consumer brands and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of high-growth consumer brands,struggle to find the right executive talent,executive_search,multi_industry,,high,mixed,not_applicable,national,8,34.97,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size cannabis companies and they keep saying they can't land a CMO who gets the regs. Thought you two should connect.,CEOs and founders of mid-size cannabis companies,can't land a CMO who gets the regs,executive_search,other,,high,mixed,not_applicable,unknown,8,35.05
Prestige,http://www.prestigescientific.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size pharma and biotech firms and they keep saying they board keeps rejecting candidates three months in. Thought you two should connect.,CEOs and founders at mid-size pharma and biotech firms,board keeps rejecting candidates three months in,executive_search,healthcare,,high,mixed,not_applicable,global,8,36.06,Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size companies and they keep saying their pipeline's always dry when they need a VP. Thought you two should connect.,CEOs and founders at mid-size companies,their pipeline's always dry when they need a VP,executive_search,multi_industry,,medium,mixed,not_applicable,unknown,8,36.8
GX People,http://www.gxpeople.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders in the cannabis industry and they keep saying they struggle to find the right leaders fast. Thought you two should connect.,CEOs and founders in the cannabis industry,struggle to find the right leaders fast,executive_search,other,,high,unknown,not_applicable,unknown,8,36.98,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they pipeline's always dry when they need a CEO. Thought you two should connect.,CEOs and founders of mid-size companies,pipeline's always dry when they need a CEO,executive_search,other,,high,unknown,not_applicable,unknown,7,37.0
FlowerHire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of healthcare companies and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of healthcare companies,struggle to find the right executive talent,executive_search,healthcare,other,high,unknown,not_applicable,national,8,37.02,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size healthcare companies and they keep saying they struggle to find the right leadership talent. Thought you two should connect.,CEOs and founders of mid-size healthcare companies,struggle to find the right leadership talent,executive_search,healthcare,pharma,high,mixed,not_applicable,global,8,37.02
SRI Talent,http://www.sritalent.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders with the right health know-how.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of healthcare companies and they keep saying they can’t find a solid CMO to save their lives. Thought you two should connect.,CEOs and founders of healthcare companies,can’t find a solid CMO to save their lives,executive_search,healthcare,aerospace_defense,medium,unknown,not_applicable,unknown,8,37.07,Figured I'd reach out — I talk to a lot of CEOs and founders of cannabis companies and they keep saying they struggle to find the right leadership talent. Thought you two should connect.,CEOs and founders of cannabis companies,struggle to find the right leadership talent,executive_search,other,,high,unknown,not_applicable,unknown,7,37.43
Delson,http://www.delsontalent.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders with the right healthcare chops.
Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies in California and they keep saying the board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies in California,board keeps rejecting candidates 3 months in,executive_search,multi_industry,,medium,mixed,not_applicable,local,8,37.49,Figured I'd reach out — I talk to a lot of CEOs and founders of biotech companies and they keep saying they struggle to find the right leadership talent. Thought you two should connect.,CEOs and founders of biotech companies,struggle to find the right leadership talent,executive_search,healthcare,biotech,medium,unknown,not_applicable,local,7,38.75
Brio,http://www.briogrp.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t snag senior clinical leaders in a niche pool.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at VC‑backed health‑tech companies and they keep saying the board keeps rejecting C‑suite candidates for months. Thought you two should connect.,CEOs and founders at VC‑backed health‑tech companies,board keeps rejecting C‑suite candidates for months,executive_search,healthcare,health_tech,high,vc_backed,established,unknown,9,38.84,Figured I'd reach out — I talk to a lot of CEOs and founders of VC-backed biotech companies and they keep saying they struggle to find the right leaders fast. Thought you two should connect.,CEOs and founders of VC-backed biotech companies,struggle to find the right leaders fast,executive_search,healthcare,biotech,high,vc_backed,not_applicable,unknown,8,38.92
Chasm Partners,http://www.chasmpartners.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t snag senior healthcare leaders.
Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of logistics companies and they keep saying they can't find the right leaders fast enough. Thought you two should connect.,CEOs and founders of logistics companies,can't find the right leaders fast enough,executive_search,logistics,supply_chain_management,medium,mixed,not_applicable,national,8,38.95,Figured I'd reach out — I talk to a lot of CEOs and founders of VC-backed healthcare companies and they keep saying they struggle to find the right leadership talent. Thought you two should connect.,CEOs and founders of VC-backed healthcare companies,struggle to find the right leadership talent,executive_search,healthcare,,high,vc_backed,not_applicable,unknown,9,38.97
CCA,http://www.ccarecruit.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in logistics and they keep saying they can’t snag senior logistics talent.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they’re struggling to find the right executive fit. Thought you two should connect.,CEOs and founders of mid-size companies,struggling to find the right executive fit,executive_search,unknown,,high,unknown,not_applicable,national,8,39.59,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't keep senior hires on board. Thought you two should connect.,CEOs and founders of mid-size companies,can't keep senior hires on board,executive_search,multi_industry,,low,mixed,not_applicable,national,8,40.2
Palladian West,http://www.palladianwest.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in mid-sized firms and they keep saying they can’t lock down senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at VC‑backed firms and they keep saying they pipeline's always dry when they need a VP. Thought you two should connect.,CEOs and founders at VC‑backed firms,pipeline's always dry when they need a VP,executive_search,multi_industry,,high,vc_backed,established,unknown,8,40.69,Figured I'd reach out — I talk to a lot of CEOs and founders of VC-backed companies and they keep saying they struggle to find the right C-suite talent. Thought you two should connect.,CEOs and founders of VC-backed companies,struggle to find the right C-suite talent,executive_search,multi_industry,,high,vc_backed,not_applicable,unknown,9,41.0
KTG Search,http://www.ktgsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in mid-sized retail firms and they keep saying they can’t attract senior retail leaders with real growth chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at established VC‑backed companies and they keep saying they can't get a VP past the board. Thought you two should connect.,CEOs and founders at established VC‑backed companies,can't get a VP past the board,executive_search,multi_industry,,high,vc_backed,established,unknown,8,41.25,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't find a VP without a 3‑month chase. Thought you two should connect.,CEOs and founders of mid-size companies,can't find a VP without a 3‑month chase,,,,,,,,,42.46
