company_name,company_website,old_icebreaker,new_icebreaker,icp,pain,service,secondary_services,business_model,industry,secondary_industries,sub_industry,specificity,company_type,company_stage,geography,confidence,reasoning,t_extract_s,t_icebr_s,model
IveSearch,http://www.ivesearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders across industries and they keep saying they can’t get top senior leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't land a C‑suite hire before the quarter ends. Thought you two should connect.,CEOs and founders of mid-size companies,can't land a C‑suite hire before the quarter ends,executive_search,,retained,multi_industry,,,medium,mixed,not_applicable,national,8,"The firm explicitly offers executive search and mentions both retained and contingency engagements, indicating an executive search focus. It serves multiple sectors (CPG, retail, financial services, pharmaceutical), so the industry is multi‑industry with medium specificity. No clear client size or VC focus is given, leading to a mixed company type and national geography.",5.56,4.92,gpt_oss_120b
NextOne,http://www.nextonestaffing.com,"Figured I’d reach out — I talk to a lot of CEOs and founders and they keep saying they can't attract top‑tier execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't get board approval for candidates. Thought you two should connect.,CEOs and founders of mid-size companies,can't get board approval for candidates,executive_search,staffing,not_specified,multi_industry,,,low,mixed,not_applicable,unknown,8,"The firm explicitly markets executive search and staffing, with a focus on C‑level talent, but does not mention any particular industry niche. It states it serves clients from startups to global enterprises, indicating a mixed client size profile and no geographic restriction. No business model or engagement details are provided.",4.83,6.91,gpt_oss_120b
Excel Talent,http://www.exceltalentsolutions.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at big companies and they keep saying they can’t lock down top exec talent.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they pipeline's always dry when they need a VP. Thought you two should connect.,CEOs and founders of mid-size companies,pipeline's always dry when they need a VP,executive_search,permanent_recruiting,retained,multi_industry,,,low,mixed,not_applicable,national,8,"ETS explicitly offers executive search with retained, container, and contingency models, indicating executive_search as the core service. No specific industry focus is mentioned, leading to a multi‑industry classification and low niche specificity. The firm serves clients nationwide without clear size or VC‑backed signals, suggesting a mixed client base.",5.7,6.14,gpt_oss_120b
Gerard Daniels,http://www.gerard-daniels.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at multinational companies and they keep saying they can’t secure top senior execs globally.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't fill C‑suite roles fast enough. Thought you two should connect.,CEOs and founders of mid-size companies,can't fill C‑suite roles fast enough,executive_search,,not_specified,multi_industry,,,medium,mixed,not_applicable,global,8,"The firm explicitly offers executive search and board consulting, positioning executive search as its core service. It serves a broad range of industries worldwide with no dominant sector, indicating a multi‑industry focus. Client size is not defined, suggesting it works with both large and mid‑market firms, hence a mixed company type.",4.7,7.2,gpt_oss_120b
CareerList,http://www.performsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders hiring execs and they keep saying they can't find qualified senior execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't land a C‑suite when the board's picky. Thought you two should connect.,CEOs and founders of mid-size companies,can't land a C‑suite when the board's picky,executive_search,sourcing,not_specified,multi_industry,,,low,unknown,not_applicable,unknown,8,"The firm explicitly markets executive search and advisory services, with no mention of other recruiting models. No industry focus or client size is described, leading to a multi‑industry, low‑specificity classification.",4.64,7.17,gpt_oss_120b
InPeak Demand,http://www.inpeakdemand.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in all sorts of companies and they keep saying they can’t get top execs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring managers at renewable energy companies and they keep saying they can't find senior engineers before the next project deadline. Thought you two should connect.,founders and hiring managers at renewable energy companies,can't find senior engineers before the next project deadline,permanent_recruiting,,not_specified,other,,renewables,high,unknown,not_applicable,unknown,8,"The firm explicitly focuses on recruiting for the renewable energy sector, indicating a clear niche (high specificity) and aligns with permanent placement of leaders. No details on contract staffing, executive‑search fee structures, client size, or geographic scope are provided, leading to unknown client type and geography.",5.42,9.88,gpt_oss_120b
Slate,http://www.joinslate.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in finance and they keep saying they can’t snag senior finance leaders with niche chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size banks and they keep saying they board keeps rejecting candidates for CFO roles. Thought you two should connect.,CEOs and founders of mid-size banks,board keeps rejecting candidates for CFO roles,executive_search,,retained,finance,manufacturing,banking,high,smb,not_applicable,national,9,"The firm explicitly states it is a retained executive search firm for financial services executives, indicating a retained business model. It targets banks, insurance, wealth management and private equity firms (finance) and also mentions industrial firms (manufacturing). The focus on smaller market U.S. cities and the detailed industry focus give a high‑specificity classification.",6.8,6.97,gpt_oss_120b
Catholic,http://www.catholicrecruiter.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in firms hunting senior leaders and they keep saying they can’t lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and executive directors at Catholic nonprofits and they keep saying they board keeps rejecting candidates three months in. Thought you two should connect.,CEOs and executive directors at Catholic nonprofits,board keeps rejecting candidates three months in,executive_search,,not_specified,other,,nonprofit,high,mixed,not_applicable,unknown,9,"The firm explicitly offers executive search for Catholic organizations, a clearly defined niche, indicating high specificity. It serves a range of client sizes from schools to dioceses, so the client type is mixed. No geographic scope or fee model is mentioned, leading to unknown geography and not_specified business model.",6.98,7.47,gpt_oss_120b
Flatiron Search,http://www.flatironsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in growing retail brands and they keep saying they can’t lock down senior retail leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at established VC‑backed consumer brands and they keep saying they board keeps rejecting candidates three months in. Thought you two should connect.,CEOs and founders at established VC‑backed consumer brands,board keeps rejecting candidates three months in,executive_search,,not_specified,multi_industry,,,high,vc_backed,established,national,8,"The firm describes itself as a boutique executive‑search firm focused on high‑growth, well‑funded consumer brands, indicating a clear niche (executive search for VC‑backed consumer companies). No pricing model is disclosed, so the business model is not specified. Geographic coverage is stated as the US and Canada, which fits a national scope.",6.8,8.73,gpt_oss_120b
Flower Hire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size cannabis companies and they keep saying they can't find a CMO who gets the plant vibe. Thought you two should connect.,CEOs and founders at mid-size cannabis companies,can't find a CMO who gets the plant vibe,executive_search,staffing,not_specified,other,,,high,unknown,not_applicable,unknown,8,"The description emphasizes executive search in the cannabis sector, making executive_search the dominant service with staffing as a secondary offering. The firm focuses exclusively on cannabis, which falls under the 'other' industry category, and no sub‑industry matches the list. No client size, VC status, or geographic scope is mentioned, leading to unknown classifications for those fields.",7.0,8.84,gpt_oss_120b
Prestige,http://www.prestigescientific.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t attract senior health leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size pharma companies and they keep saying they pipeline's always dry when they need a CRO. Thought you two should connect.,CEOs and founders at mid-size pharma companies,pipeline's always dry when they need a CRO,executive_search,,not_specified,healthcare,,pharma,high,mixed,not_applicable,global,8,"The firm explicitly offers executive search for life sciences, a clear niche within healthcare (pharma/biotech). No size or pricing model is mentioned, indicating a mixed client base, and the lack of geographic limits implies a global scope.",6.44,8.31,gpt_oss_120b
GX People,http://www.gxpeople.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring managers at pharma companies and they keep saying they pipeline's always dry when they need senior scientists. Thought you two should connect.,founders and hiring managers at pharma companies,pipeline's always dry when they need senior scientists,permanent_recruiting,"executive_search, staffing",contingency,healthcare,,pharma,high,mixed,not_applicable,global,8,"The firm explicitly focuses on pharmaceuticals, biotechnology and medical devices, offering contingency (permanent) search, executive search and interim staffing. It serves multiple regions (UK, US, Germany, Spain, Switzerland) indicating a global scope, and mentions no size restriction, implying a mixed client base.",7.7,9.52,gpt_oss_120b
FlowerHire,http://www.flowerhire.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size cannabis companies and they keep saying they board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size cannabis companies,board keeps rejecting candidates 3 months in,executive_search,staffing,not_specified,other,,,high,unknown,not_applicable,unknown,7,"The description highlights executive search and staffing focused exclusively on the cannabis sector, giving a clear niche (high specificity). No details on client size, engagement model, or geographic reach are provided, leading to unknown client type and geography.",7.53,9.55,gpt_oss_120b
SRI Talent,http://www.sritalent.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders with the right health know-how.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't find a C-suite that fits culture. Thought you two should connect.,CEOs and founders of mid-size companies,can't find a C-suite that fits culture,executive_search,"staffing, permanent_recruiting",retained,multi_industry,"manufacturing, finance",,medium,mixed,not_applicable,unknown,8,"The firm highlights retained search (executive search) as a core offering and also mentions contract staffing and contingent placement, indicating multiple services. It serves a broad set of sectors (aerospace, finance, food, healthcare) without a single dominant niche, leading to a medium specificity rating. No size or VC signals are provided, so client type is mixed and geography is unspecified.",8.77,9.42,gpt_oss_120b
Delson,http://www.delsontalent.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t find senior leaders with the right healthcare chops.
Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size companies in California and they keep saying they board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders at mid-size companies in California,board keeps rejecting candidates 3 months in,executive_search,"permanent_recruiting, staffing",retained,multi_industry,,,medium,mixed,not_applicable,local,8,"The firm explicitly mentions retained executive searches and full‑cycle recruitment, indicating executive search as the core offering with permanent and staffing services as add‑ons. It serves biotech, HVAC, tech, pharma and med‑device firms, spanning multiple unrelated industries, so the industry classification is multi‑industry and the niche specificity is moderate. Geographic focus is limited to California (San Francisco and Long Beach), making it a local scope.",9.3,9.64,gpt_oss_120b
Brio,http://www.briogrp.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t snag senior clinical leaders in a niche pool.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at established VC‑backed biotech firms and they keep saying they board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders at established VC‑backed biotech firms,board keeps rejecting candidates 3 months in,executive_search,,not_specified,healthcare,information_technology,biotech,high,vc_backed,established,unknown,8,"The firm emphasizes a meticulous executive search process for life‑science and tech startups, indicating executive_search as the core service. It targets biotech, pharma, medical‑device, IT and SaaS firms, pointing to healthcare as the dominant industry with IT as a secondary. The focus on high‑growth startups implies VC‑backed clients, but no stage is specified.",9.06,11.17,gpt_oss_120b
Chasm Partners,http://www.chasmpartners.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in healthcare and they keep saying they can’t snag senior healthcare leaders.
Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at VC‑backed health‑tech companies and they keep saying they can't get a C‑suite because the board's picky. Thought you two should connect.,CEOs and founders at VC‑backed health‑tech companies,can't get a C‑suite because the board's picky,executive_search,rpo,retained,healthcare,,health_tech,high,vc_backed,established,unknown,9,"The firm describes itself as a retained executive search firm focused on healthcare and health‑tech, with a clear at‑risk (retained) model. It explicitly serves VC‑ and PE‑backed healthcare companies, indicating a VC‑backed client base, while no geographic scope is mentioned.",9.41,11.39,gpt_oss_120b
CCA,http://www.ccarecruit.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in logistics and they keep saying they can’t snag senior logistics talent.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they board keeps rejecting candidates for months. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates for months,executive_search,permanent_recruiting,not_specified,multi_industry,,,low,mixed,not_applicable,national,7,"The firm emphasizes executive and professional recruiting for leadership roles across logistics, manufacturing, finance, and technology, indicating a broad, multi‑industry focus with no single niche. No engagement or fee model is disclosed, and the client base appears to span both SMB and enterprise firms. The description states nationwide coverage, leading to a national geography classification.",9.27,10.45,gpt_oss_120b
Palladian West,http://www.palladianwest.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in mid-sized firms and they keep saying they can’t lock down senior leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't get board approval for any candidate. Thought you two should connect.,CEOs and founders of mid-size companies,can't get board approval for any candidate,executive_search,"executive_coaching, leadership_consulting",not_specified,multi_industry,,,low,unknown,not_applicable,unknown,8,"Both firms emphasize executive search as their core offering; additional services like coaching, consulting, talent strategy are mentioned. No industry focus, client size, or geographic scope is specified, leading to a multi‑industry, low‑specificity classification.",8.3,11.91,gpt_oss_120b
KTG Search,http://www.ktgsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in mid-sized retail firms and they keep saying they can’t attract senior retail leaders with real growth chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at established VC‑backed companies and they keep saying they can't find a C‑suite hire before the next funding round. Thought you two should connect.,CEOs and founders at established VC‑backed companies,can't find a C‑suite hire before the next funding round,executive_search,sourcing,not_specified,multi_industry,,,high,vc_backed,established,unknown,8,"The firm explicitly focuses on C‑level and VP executive search and also offers market mapping, indicating a primary executive_search service with sourcing as a secondary. No single industry is emphasized, only high‑growth consumer firms, leading to a multi‑industry classification. The mention of portfolio talent support for venture‑capital and private‑equity firms points to VC‑backed client companies, though the stage is not specified.",11.11,11.5,gpt_oss_120b
